name,brand,color,hightop,sole
Vault Bianca Chandon Authentic LX Navy White,Vans,Blue,Low,Plain Sole
Yeezy Boost 350 v2 Salt Core Black,Adidas,Green,Low,Plain Sole
Nike StrangeLove SB Dunk Low Pink,Nike,Pink,Low,Plain Sole
Dunk Low Retro Gym Red,Nike,Red,Low,Plain Sole
Vault Nigel Cabourn OG Authentic LX Worn White Navy,Vans,Beige,Low,Navy Sole
Nike SB Dunk Low Pro Chicago,Nike,Red,Low,Plain Sole
Yeezy Boost 350 v2 Bone,Adidas,White,High,Plain Sole
530 Steel Blue,Newbalance,Steel Blue,Low,Plain Sole
Rhude Acer NI SP Bandana Neon,Vans,Pink,Low,Plain Sole
Gel Birch,Asics,Beige,Low,Plain Sole
Gel White Midnight,Asics,White,Low,Orange Sole
327 Grey Purple,Newbalance,Purple,Low,Plain Sole
2002R Nightwatch Green,Newbalance,Green,Low,Plain Sole
Adidas Samba Vegan Black,Adidas,Black,Low,Plain Sole
